Masina,Culoare,Anul productiei,Numar locuri,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
Dacia Sandero Stepway,Alte culori,2021,5.0,Benzina,Manuala,Compact,999.0,100.0,Fata,6.3,4.6,11999
Volkswagen Passat,Gri,2020,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.5,3.7,21899
Volkswagen Passat,Rosu,2024,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.9,3.4,39599
Volkswagen Passat,Gri,2020,5.0,Benzina,Automata,Sedan,1498.0,150.0,Fata,6.6,4.3,19200
Ford Edge,Gri,2017,5.0,Diesel,Automata,SUV,1997.0,210.0,4x4,6.5,5.5,17490
Mercedes-Benz C,Negru,2017,5.0,Diesel,Automata,Sedan,2143.0,170.0,4x4,5.4,4.2,17900
Skoda Octavia,Albastru,2009,5.0,Benzina,Manuala,Sedan,1798.0,160.0,Fata,9.5,5.5,7999
Skoda Octavia,Negru,2022,5.0,Benzina,Automata,Sedan,999.0,110.0,Fata,5.0,3.7,19990
Mercedes-Benz GLA,Alb,2015,5.0,Diesel,Automata,SUV,2143.0,136.0,4x4,5.8,4.3,19990
Audi A6,Negru,2019,5.0,Diesel,Automata,Sedan,2967.0,231.0,4x4,6.2,5.3,32582
Ford Focus,Albastru,2019,5.0,Diesel,Automata,Sedan,1998.0,150.0,Fata,5.1,3.6,9999
Mercedes-Benz S,Negru,2022,5.0,Diesel,Automata,Sedan,2925.0,330.0,4x4,8.6,5.1,118405
Volvo XC 60,Gri,2016,5.0,Diesel,Automata,SUV,1969.0,190.0,Fata,5.6,4.4,17990
Land Rover Range Rover Evoque,Gri,2019,5.0,Benzina,Automata,SUV,1997.0,250.0,4x4,9.9,6.7,33320
Mercedes-Benz GLE,Albastru,2020,5.0,Diesel,Automata,SUV,1950.0,245.0,4x4,6.8,5.0,58200
BMW X6 M,Negru,2016,5.0,Diesel,Automata,SUV,2993.0,381.0,4x4,7.2,6.3,34500
Volkswagen Polo,Alb,2020,5.0,Benzina,Manuala,Compact,999.0,95.0,Fata,5.5,3.8,10300
Nissan Qashqai,Negru,2016,5.0,Diesel,Automata,SUV,1598.0,130.0,Fata,5.6,4.6,11500
Volkswagen Golf,Gri,2020,5.0,Diesel,Automata,Compact,1968.0,150.0,Fata,5.1,3.9,18100
Dacia Logan,Alb,2022,5.0,Benzina,Manuala,Sedan,999.0,100.0,Fata,6.5,4.3,12200
Hyundai Santa Fe,Gri,2020,6.0,Diesel,Automata,SUV,2199.0,200.0,4x4,7.1,5.3,29990
Seat Leon,Gri,2010,5.0,Diesel,Manuala,Compact,1598.0,105.0,Fata,4.7,3.4,4500
Dacia Logan,Gri,2020,5.0,Diesel,Manuala,Sedan,1461.0,95.0,Fata,4.1,3.4,11500
Mercedes-Benz GLE Coupe,Gri,2017,5.0,Benzina,Automata,SUV,2996.0,367.0,4x4,13.7,8.7,35500
BMW X6 M,Negru,2020,5.0,Diesel,Automata,SUV,2993.0,400.0,4x4,8.0,6.3,63800
Dacia Duster,Argint,2019,5.0,Diesel,Manuala,SUV,1461.0,115.0,Fata,4.6,3.8,12490
